date,sentiment
2017-02-16 04:47:56,-0.25
2017-02-16 04:39:11,1.375
2017-02-16 04:36:32,0
2017-02-16 04:35:10,-0.875
2017-02-16 04:33:50,0
2017-02-16 04:31:18,0.75
2017-02-16 04:29:15,0.5
2017-02-16 04:21:12,0
2017-02-15 21:06:09,0
2017-02-15 21:05:03,0.125
2017-02-15 20:52:49,-0.75
2017-02-15 02:33:11,0
2017-02-11 02:18:03,-0.25
2017-02-10 20:17:43,0
2017-02-10 02:51:02,0
2017-02-10 01:17:19,0.5
2017-02-09 23:27:26,0
2017-02-09 01:58:37,0
2017-02-08 21:49:54,0.5
2017-02-08 21:31:39,0.25
2017-02-08 21:29:14,1.625
2017-02-08 20:48:14,0
2017-02-08 18:27:31,0
2017-02-07 19:18:23,0
2017-02-07 18:03:36,0
2017-02-07 17:13:33,0
2017-02-07 16:23:27,0.5
2017-02-07 16:11:34,0.375
2017-02-07 16:08:19,0.5
2017-02-07 15:12:19,-0.375
2017-02-07 15:06:50,0
2017-02-07 15:00:54,-0.5
2017-02-07 05:40:26,0
2017-02-05 19:13:20,-1.25
2017-02-05 18:59:24,0
2017-02-05 18:52:09,0.25
2017-02-05 18:50:10,0
2017-02-05 18:48:18,-0.25
2017-02-05 18:41:42,0
2017-02-05 18:41:06,0.5
2017-02-05 18:30:43,1.625
2017-02-05 18:21:41,-0.25
2017-02-05 18:12:14,-1.5
2017-02-05 18:07:59,-0.375
2017-02-05 18:05:16,-0.375
2017-02-05 18:03:49,0
2017-02-05 18:00:30,0.25
2017-02-05 17:58:40,0.625
2017-02-05 17:58:04,0.5
2017-02-05 17:55:31,0
2017-02-05 17:53:39,0
2017-02-05 17:52:22,0.625
2017-02-05 17:47:42,0.375
2017-02-05 17:46:33,0.375
2017-02-05 17:43:15,0.25
2017-02-05 17:40:48,-0.25
2017-02-05 17:40:28,0
2017-02-05 17:27:35,0
2017-02-05 17:26:30,-0.625
2017-02-05 17:23:23,0.625
2017-02-05 17:20:49,0
2017-02-05 17:19:08,0.5
2017-02-05 17:18:11,-0.25
2017-02-05 17:16:23,-0.5
2017-02-05 17:12:32,0
2017-02-05 17:11:27,0
2017-02-05 17:09:37,1.25
2017-02-05 17:02:09,-0.375
2017-02-05 17:01:08,-1
2017-02-05 16:55:20,-0.5
2017-02-05 16:53:25,0
2017-02-05 16:51:00,0
2017-02-05 16:50:19,0
2017-02-05 16:48:00,0.375
2017-02-05 16:42:55,0
2017-02-05 16:42:26,1.5
2017-02-05 16:39:41,0
2017-02-05 16:35:21,1.25
2017-02-05 16:28:25,0.5
2017-02-04 23:12:36,0.375
2017-02-04 22:19:04,0
2017-02-04 22:16:06,0
2017-02-04 22:08:52,0.25
2017-02-04 22:02:17,0
2017-02-04 22:01:38,0
2017-02-04 21:56:09,0.875
2017-02-04 20:52:58,0
2017-02-04 19:00:25,0
2017-02-04 17:14:39,0.5
2017-02-04 17:07:16,0.5
2017-02-04 17:03:52,-0.25
2017-02-04 16:57:59,-0.625
2017-02-04 16:39:32,-0.125
2017-02-04 12:02:18,0
2017-02-04 11:57:38,0
2017-02-04 03:29:24,0
2017-02-04 01:38:54,-0.625
2017-02-04 00:52:40,0.5
2017-02-03 01:39:18,0
2017-02-02 19:24:41,0
2017-02-02 05:23:15,-0.375
2017-01-31 02:53:39,0
2017-01-30 19:31:23,0.375
2017-01-30 19:26:50,0
2017-01-30 19:24:09,-1
2017-01-30 17:50:23,0.375
2017-01-30 17:34:00,-0.375
2017-01-30 10:52:15,0.5
2017-01-30 05:18:59,0.5
2017-01-30 05:09:02,0.375
2017-01-30 05:08:30,0.375
2017-01-30 00:05:17,0.375
2017-01-29 23:11:02,0
2017-01-29 21:34:53,-0.25
2017-01-29 20:53:51,0.25
2017-01-29 00:42:42,0
2017-01-29 00:35:36,0.125
2017-01-29 00:34:44,0.125
2017-01-28 05:23:59,0.875
2017-01-28 04:53:54,0
2017-01-28 00:18:44,0.5
2017-01-27 18:32:52,0.375
2017-01-27 17:43:35,0.625
2017-01-27 11:29:30,0.25
2017-01-26 01:06:06,-0.125
2017-01-25 16:57:33,0.375
2017-01-25 09:11:56,-0.25
2017-01-25 09:09:43,0
2017-01-25 09:08:52,0
2017-01-25 09:08:01,0.5
2017-01-25 06:59:26,0.625
2017-01-25 06:53:09,0
2017-01-25 06:50:18,0.625
2017-01-25 06:27:15,0
2017-01-25 05:25:12,0.5
2017-01-25 04:37:02,0
2017-01-25 00:47:33,-0.75
2017-01-25 00:43:16,-0.25
2017-01-25 00:41:11,-0.375
2017-01-25 00:40:30,1.25
2017-01-24 21:59:15,-1.375
2017-01-24 21:57:27,-0.25
2017-01-24 21:51:19,0.75
2017-01-24 21:46:24,0.125
2017-01-24 15:29:20,0
2017-01-24 03:06:28,-0.25
2017-01-24 03:00:03,0
2017-01-23 20:44:48,0.875
2017-01-22 18:22:55,0
2017-01-22 17:02:09,0.875
2017-01-22 16:57:45,0
2017-01-22 16:55:07,-0.375
2017-01-22 01:55:06,0.5
2017-01-22 01:51:52,0.625
2017-01-22 01:49:54,-1.25
2017-01-22 01:38:35,0
2017-01-21 22:17:04,0
2017-01-21 22:13:40,0
2017-01-21 21:57:46,0.25
2017-01-21 21:52:58,0
2017-01-21 21:43:09,0.25
2017-01-21 20:46:26,0.625
2017-01-19 20:35:20,0.125
2017-01-19 20:14:06,0.875
2017-01-19 17:18:54,0
2017-01-19 17:17:44,0.125
2017-01-19 17:15:46,-0.625
2017-01-19 17:11:35,0.125
2017-01-19 17:10:24,0
2017-01-19 17:09:00,1.125
2017-01-19 16:05:33,0
2017-01-19 15:31:32,0
2017-01-18 19:56:00,0
2017-01-18 07:51:53,0
2017-01-16 10:08:24,0.75
2017-01-16 10:07:07,0.375
2017-01-16 10:05:56,0
2017-01-16 10:04:47,0
2017-01-16 10:03:15,0
2017-01-16 09:55:01,0.5
2017-01-15 22:26:42,0
2017-01-15 07:33:12,0
2017-01-15 04:56:51,0
2017-01-14 23:24:53,0
2017-01-14 19:12:49,0
2017-01-14 19:05:04,0
2017-01-14 17:33:19,-0.25
2017-01-13 22:37:03,0.75
2017-01-13 03:32:21,0
2017-01-12 21:57:52,0.625
2017-01-12 21:56:29,0.625
2017-01-12 21:55:00,0
2017-01-12 21:54:15,2.25
2017-01-12 21:43:16,-0.25
2017-01-12 21:41:32,0
2017-01-12 18:16:54,-1.125
2017-01-12 18:08:12,1.75
2017-01-11 03:03:11,0
2017-01-11 02:52:36,0
